"channel_id","title","description","custom_url","published_at","thumbnail","topic_id","keyword","banner","upload_list","total_view","subscriber","video_count","latest30_views","latest30_likes","latest30_comments","rank","participation_rate","activity_rate","avg_views","avg_likes","avg_comments","like_per_view","comment_per_view","channel_activity","channel_wordcloud"
"UCOHM2N1YQdb-cHWxJxwBMLQ","아는형님 Knowingbros","아는 형님 Knowingbros
JTBC 대표 예능 ＜아는 형님＞ 공식 유튜브 채널 입니다.","@knowingbros","2014-01-14 07:23:12","https://yt3.ggpht.com/ytc/AGIKgqNy81YjC9LCRxuu274SbnJgy3tZhGbx6ISbFSO_ig=s88-c-k-c0x00ffffff-no-rj","[9, 40, 42, 45]","""아는 형님"" knowingbros 강호동 이수근 서장훈 김희철 민경훈 김영철","https://yt3.googleusercontent.com/6KbPLHSvMWAhrrGRrwjw6OE6BQFRSZVtmyrnreyIEtMtel7GFuBDKgoXMi4UlL0MSHsyis2HZA","UUOHM2N1YQdb-cHWxJxwBMLQ","1560307809","2290000","3992","1074907","14362","758","gold","1.41","1.56","35830","478","25","1:74","1:1433","https://imagedelivery.net/0LpbCRndcZjwIKnq2dWrKQ/21cbcc5b-2a3b-4cde-ce60-c35546f37300/public","https://imagedelivery.net/0LpbCRndcZjwIKnq2dWrKQ/1d483f1f-6ae0-45cd-1758-b26308cfde00/public"
"UCe_oTYByLWQYCUmgmOMU_xw","official IZ*ONE","","@officializone","2018-08-30 02:50:52","https://yt3.ggpht.com/ytc/AGIKgqOEC90Tw3fclaPsDEsIuVClfHXTGNO4bLef2r5JiQ=s88-c-k-c0x00ffffff-no-rj-mo","[1, 9, 11, 40]","","https://yt3.googleusercontent.com/Yb2qTd7RGIlpiy4E4_GAERGilJFRpFcT97L8SPxi48WPKs2O2rovyh9G2W6Gx0DmUiIf_6PWhOI","UUe_oTYByLWQYCUmgmOMU_xw","803124653","2280000","270","20978571","1178020","110229","gold","6.14","30.67","699285","39267","3674","1:17","1:190","https://imagedelivery.net/0LpbCRndcZjwIKnq2dWrKQ/81c248ce-9482-49d8-9ad8-c0d89e730400/public","https://imagedelivery.net/0LpbCRndcZjwIKnq2dWrKQ/cb9d61b1-6fd7-436c-c7b3-55f7f68fdc00/public"
"UC3lz95UPhKJW1aS3_za6SuQ","United CUBE (CUBE Entertainment Official YouTube Channel)","Welcome to UNITED CUBE official channel.
Subscribe the channel and watch the latest videos from Cube Entertainment's artists.

큐브엔터테인먼트 공식 유튜브 채널입니다.","@theunitedcube","2012-08-01 06:50:33","https://yt3.ggpht.com/ytc/AGIKgqOAfJ_hBdxKkSPMbsOtoyXR_1FO0fZKxLdU8EuQrQ=s88-c-k-c0x00ffffff-no-rj","[1, 9, 40]","kpop 4Minute Beast G.NA BTOB CLC PENTAGON GIDLE (G)I-DLE gi-dle idle ""Cube Entertainment"" 포미닛 비스트 지나 비투비 씨엘씨 펜타곤 아이들 여자아이들 두준 현승 준형 요섭 기광 동운 지현 가윤 지윤 현아 소현 은광 민혁 창섭 현식 프니엘 일훈 성재 노지훈 승희 승연 유진 손 엘키 예은 은빈 후이 진호 홍석 신원 여원 이던 옌안 유토 키노 우석 소연 미연 수진 민니 우기 슈화","https://yt3.googleusercontent.com/MbHR9ifg2a8WmEdJyoHw8jiW75AXHx2NknDC4KZSrfZBfvIa3r9xwVMqbKzeJk2NL1WDk6Qdrg","UU3lz95UPhKJW1aS3_za6SuQ","759444749","2270000","1605","711277","40889","3156","gold","6.19","1.04","23709","1362","105","1:17","1:225","https://imagedelivery.net/0LpbCRndcZjwIKnq2dWrKQ/b7ec5d2d-0d5e-47a2-8e2d-cb0239fab500/public","https://imagedelivery.net/0LpbCRndcZjwIKnq2dWrKQ/2c3ccbd9-519b-45b1-5bfc-35e16c20f800/public"
"UCkLNHZZsC3LKdUAroKNwOOw","CuRe 구래","We're the CuRe couple, the cure for happiness😊👋


⭐️CuRe Inst 👉🏻 cure_9997
📱CuRe Tiktok 👉🏻 cure0721
💌CuRe E-mail 👉🏻 fkakqjqtk99@naver.com","@cure0721","2021-06-22 09:38:09.326770","https://yt3.ggpht.com/fi_rOiP7BWJIWqLTf6rpW93YLpXK38b8D70LDLvVUIcUr6cn7S3k5jBpTINs1b08QK5O1dknWQ=s88-c-k-c0x00ffffff-no-rj","[40]","#cure #couple @cure0721 #shorts #tiktok #korea funny #funnyvideo #cute #구래 #구래커플 #커플유튜버 #한국 #틱톡 #curecouple comedy","https://yt3.googleusercontent.com/vNZw9DdR_9hLkNnE4Sy6eqEVhc9PLsYY-7O1AzjQXn4B7PbbwYA78GOJjhNR0xW7baxCRpUx_Ic","UUkLNHZZsC3LKdUAroKNwOOw","5970069020","8470000","381","263400235","11633844","46764","gold","4.43","103.66","8780007","387794","1558","1:22","1:5635","https://imagedelivery.net/0LpbCRndcZjwIKnq2dWrKQ/3410f264-15b6-4a79-4ef8-bea1e4245400/public",""
"UCg-p3lQIqmhh7gHpyaOmOiQ","영국남자 Korean Englishman","안녕하세요! 제 이름은 조쉬이고, 저는 영국남자예요. 제 친한 친구 올리와 영상 만들어서 매주 수요일 저녁에 영상 올려요! ^^
Hello! This is Josh and Ollie, and we make videos in Korean and English, linking the two cultures and having fun along the way! We upload every Wednesday. 





보고싶은 영상 컨셉 있으면 영상 코멘트로, 아니면 우리 인스타그램이나 페북 댓글로 알려주세요! 재밌게 보세요!!  
비즈니스 문의: jolly@thekitstudios.com

To contact us feel free to leave us a comment on one of our videos. 
For all business related inquiries please email us at business@koreanenglishman.com

Thank you!!","@koreanenglishman","2013-06-07 15:30:22","https://yt3.ggpht.com/ytc/AGIKgqMDhtXsSjCGxTr8ynWJhakBLOkMMHYtC6FJKELw3Q=s88-c-k-c0x00ffffff-no-rj","[46, 49]","","https://lh3.googleusercontent.com/QCtDdzH1ERu6NrSmy3nB3UFjzsHjZA6fFbgVmgWuBHS18pI06i3PyXry4s6x-hQE3GrI2OU21w","UUg-p3lQIqmhh7gHpyaOmOiQ","2022992966","5690000","541","51180132","1893946","60309","gold","3.82","29.98","1706004","63131","2010","1:27","1:848","https://imagedelivery.net/0LpbCRndcZjwIKnq2dWrKQ/4a53136c-e537-424c-0601-16143a228800/public","https://imagedelivery.net/0LpbCRndcZjwIKnq2dWrKQ/90775877-bb56-49cd-987e-b15a04165000/public"
"UChbE5OZQ6dRHECsX0tEPEZQ","장삐쭈","비즈니스 문의: jangbbijju@metacomedy.net
스튜디오장삐쭈 지원하기: recruit@studiojbbj.com","@studio_jbbj","2014-06-11 14:17:44","https://yt3.ggpht.com/ytc/AGIKgqMg5awwEu4TCoE4L2iuRkVC1BEXPaGYnMcejZNgLA=s88-c-k-c0x00ffffff-no-rj","[40, 42]","","https://yt3.googleusercontent.com/j3m3RUhJDp8kVl_W2ougwTuLpaoqYRF2VqgkawzhtBSUEh8oXUTE_tLA7vAw7fGCVPrNMzagPg","UUhbE5OZQ6dRHECsX0tEPEZQ","1873948732","3580000","530","28613496","670525","14016","gold","2.39","26.64","953783","22350","467","1:42","1:2042","https://imagedelivery.net/0LpbCRndcZjwIKnq2dWrKQ/2951ee17-7b12-4bf4-82b8-c95c0bba8800/public",""
"UCsJ6RuBiTVWRX156FVbeaGg","슈카월드","경제, 금융을 기반으로 달리는 방송!
정치는 아주. 전혀. 대단히. 모릅니다. 
누군가를 비판하거나 비난하지 않도록 노력하겠습니다.
실수가 있더라도 너그럽고 재미있게 봐주세요.
감사합니다.
각종 문의 : syukaworld@sandbox.co.kr 으로 부탁드립니다.","@syukaworld","2015-04-25 03:34:03","https://yt3.ggpht.com/ytc/AGIKgqNKtkfO1lrs5HpdX9C1DBocLEZXp8z5VuFMSroxlg=s88-c-k-c0x00ffffff-no-rj","[56, 62]","슈카 경제 시사 상식 토크","https://yt3.googleusercontent.com/ad5OoGGexMhaZ3sT1YjIDCYbw_HcQnvFFkArA1LQEJVwrv-_PgbalL7YGBpt4-lemz28qMG4BA","UUsJ6RuBiTVWRX156FVbeaGg","731931068","2710000","1422","20353364","269618","39003","gold","1.52","25.03","678445","8987","1300","1:75","1:521","https://imagedelivery.net/0LpbCRndcZjwIKnq2dWrKQ/6a8236ed-2b69-4def-552f-5d499a121700/public","https://imagedelivery.net/0LpbCRndcZjwIKnq2dWrKQ/959ba4dc-646f-4484-1e42-44ba5219b500/public"
"UC1B6SalAoiJD7eHfMUA9QrA","숏박스","안녕하세요 """"스케치코미디"""" 채널 숏박스입니다

모든 문의는  shortbox@metacomedy.net","@shortbox","2021-10-29 13:54:38.582195","https://yt3.ggpht.com/CC3lKLV6DIJabtrU96HjtyXK4f8ajDUwTvlApdYS8QA_HniNBX9h0ICqNEDbOZs6La7FRwWE=s88-c-k-c0x00ffffff-no-rj","[46]","","https://yt3.googleusercontent.com/qBPKJANz2Ft_ZijUd1RSSKPXGAs5siy_HvIDQ_HKmLCFAWMDVNHTtgnpCQHd7zwLk7A-_qB2ig","UU1B6SalAoiJD7eHfMUA9QrA","483341572","2570000","94","111234232","1479445","86143","gold","1.41","144.27","3707807","49314","2871","1:75","1:1291","https://imagedelivery.net/0LpbCRndcZjwIKnq2dWrKQ/b945420b-5a34-4bbb-803e-f6c50ecced00/public","https://imagedelivery.net/0LpbCRndcZjwIKnq2dWrKQ/25bc3791-9dbc-4e88-2e41-38633c701c00/public"
"UCGX5sP4ehBkihHwt5bs5wvg","피식대학Psick Univ","코미디 인재 육성 및 연구의 메카 피식대학 

✅ 피식대학 비즈니스 메일
psickuniv@metacomedy.net

✅ 피식대학 사서함
(04054) 서울특별시 마포구 와우산로 29가길 42, 메타코미디

✅ 피식대학 굿즈 스토어
https://smartstore.naver.com/psickuniv","@psickuniv","2019-04-01 05:31:41","https://yt3.ggpht.com/ytc/AGIKgqOj0W1IqhXREkU5EjEyjvFFCxmMLBBskdGJXYXl=s88-c-k-c0x00ffffff-no-rj","[40, 42]","","https://yt3.googleusercontent.com/axVIHAKIyKFEi56OxDHTsPq1Qqq40jyx-1JJvoarvQI1U9hVUf-IJHqeY_qPfL9ZXJMSep8r","UUGX5sP4ehBkihHwt5bs5wvg","929172069","2150000","959","14738064","345493","14555","gold","2.44","22.85","491268","11516","485","1:42","1:1012","https://imagedelivery.net/0LpbCRndcZjwIKnq2dWrKQ/37e66890-5622-429e-06a8-555be3cbf800/public",""
"UCq-NPoQsxpkdu5n2-BF5TCw","퇴경아 약먹자","Go Toe Kyung / South Korea / Pharmacist / Youtuber

Facebook : https://www.facebook.com/xhlrud
Twitter : https://twitter.com/xhlrud
Instagram : https://www.instagram.com/gotoegram/

Thank you for everyone who watch my video.","@gotoe","2015-01-07 08:20:31","https://yt3.ggpht.com/ytc/AGIKgqMTQ79PmLb98Po_fKqlQGXgEBUZwFsXoGMf2OaF0A=s88-c-k-c0x00ffffff-no-rj","[1, 9, 11, 40, 43]","케이팝 KPOP GoToe 고퇴경 퇴경아약먹자","https://lh3.googleusercontent.com/DnkPLZBFZo_ieP08ZYMJ_M-PKrmpXI1Of6vxIXRPGBFVHYOq96ZSB552lhMDdi7PjzOFMgeWyLk","UUq-NPoQsxpkdu5n2-BF5TCw","363006114","1970000","705","6474231","199899","11920","gold","3.27","10.95","215807","6663","397","1:32","1:543","https://imagedelivery.net/0LpbCRndcZjwIKnq2dWrKQ/65eb86ae-65ee-453c-df12-8de128977f00/public","https://imagedelivery.net/0LpbCRndcZjwIKnq2dWrKQ/d3588502-71e1-429d-c214-c26af18f7700/public"
